MsgID.STATE,1521883067.1269608,False,False
MsgID.GLOBAL_HOME,1521883078.3607764,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1521883078.3787768,15.7196665,0.4146596,-4.9264345
MsgID.LOCAL_VELOCITY,1521883078.3787768,8.8558884,0.0828920,-0.0639748
MsgID.GLOBAL_POSITION,1521883078.3787768,-122.3974486,37.7926219,4.9260000
MsgID.LOCAL_VELOCITY,1521883078.3787768,8.8500000,0.0800000,-0.0600000
MsgID.GLOBAL_POSITION,1521883078.6279564,-122.3974468,37.7926417,4.9300000
MsgID.LOCAL_VELOCITY,1521883078.6279564,8.8700000,0.0900000,-0.0500000
MsgID.LOCAL_POSITION,1521883078.6289554,17.9224644,0.5704559,-4.9307933
MsgID.LOCAL_VELOCITY,1521883078.6289554,8.8712063,0.0900144,-0.0599020
MsgID.GLOBAL_POSITION,1521883078.8779886,-122.3974489,37.7926616,4.9350000
MsgID.LOCAL_VELOCITY,1521883078.8779886,8.8700000,0.0800000,-0.0400000
MsgID.LOCAL_POSITION,1521883078.8779886,20.1279697,0.3907912,-4.9359326
MsgID.LOCAL_VELOCITY,1521883078.8779886,8.8768864,0.0875081,-0.0441068
MsgID.LOCAL_POSITION,1521883079.1272202,22.3381214,0.4650800,-4.9388256
MsgID.LOCAL_VELOCITY,1521883079.1272202,8.8712435,0.0983561,0.0053060
MsgID.GLOBAL_POSITION,1521883079.1282182,-122.3974480,37.7926815,4.9380000
MsgID.LOCAL_VELOCITY,1521883079.1282182,8.8700000,0.0900000,0.0000000
MsgID.STATE,1521883079.3600786,True,True
MsgID.GLOBAL_HOME,1521883079.3600786,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883079.3790789,-122.3974459,37.7927016,4.9410000
MsgID.LOCAL_VELOCITY,1521883079.3790789,8.8600000,0.1000000,0.0200000
MsgID.LOCAL_POSITION,1521883079.3790789,24.5787888,0.6516922,-4.9419909
MsgID.LOCAL_VELOCITY,1521883079.3790789,8.8689966,0.1012425,0.0276739
MsgID.GLOBAL_POSITION,1521883079.6288674,-122.3974479,37.7927219,4.9460000
MsgID.LOCAL_VELOCITY,1521883079.6288674,8.8700000,0.0800000,0.0300000
MsgID.LOCAL_POSITION,1521883079.6288674,26.8317814,0.4784194,-4.9461112
MsgID.LOCAL_VELOCITY,1521883079.6288674,8.8744783,0.0875720,0.0341745
MsgID.GLOBAL_POSITION,1521883079.8790364,-122.3974480,37.7927413,4.9540000
MsgID.LOCAL_VELOCITY,1521883079.8790364,8.8700000,0.0900000,0.0500000
MsgID.LOCAL_POSITION,1521883079.8790364,28.9921303,0.4632573,-4.9548559
MsgID.LOCAL_VELOCITY,1521883079.8790364,8.8777122,0.0995864,0.0554794
MsgID.GLOBAL_POSITION,1521883080.1294270,-122.3974464,37.7927614,4.9590000
MsgID.LOCAL_VELOCITY,1521883080.1294270,8.8700000,0.1100000,0.0900000
MsgID.LOCAL_POSITION,1521883080.1294270,31.2171192,0.6111454,-4.9595580
MsgID.LOCAL_VELOCITY,1521883080.1294270,8.8749113,0.1126499,0.0981393
MsgID.STATE,1521883080.3618562,True,True
MsgID.GLOBAL_HOME,1521883080.3618562,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1521883080.3780146,33.3707504,0.7646400,-4.9571018
MsgID.LOCAL_VELOCITY,1521883080.3780146,8.8804817,0.1035259,0.1064974
MsgID.GLOBAL_POSITION,1521883080.3780146,-122.3974447,37.7927808,4.9570000
MsgID.LOCAL_VELOCITY,1521883080.3780146,8.8800000,0.1000000,0.1000000
MsgID.GLOBAL_POSITION,1521883080.6289141,-122.3974461,37.7928008,4.9610000
MsgID.LOCAL_VELOCITY,1521883080.6289141,8.8700000,0.0800000,0.1400000
MsgID.LOCAL_POSITION,1521883080.6289141,35.5925674,0.6387036,-4.9613771
MsgID.LOCAL_VELOCITY,1521883080.6289141,8.8770609,0.0835935,0.1414449
MsgID.LOCAL_POSITION,1521883080.8782692,37.9655380,0.6387222,-4.9572415
MsgID.LOCAL_VELOCITY,1521883080.8782692,8.8787012,0.0893755,0.1280357
MsgID.GLOBAL_POSITION,1521883080.8782692,-122.3974461,37.7928221,4.9570000
MsgID.LOCAL_VELOCITY,1521883080.8782692,8.8700000,0.0800000,0.1200000
MsgID.LOCAL_POSITION,1521883081.1294508,40.2913399,0.6816513,-4.9512081
MsgID.LOCAL_VELOCITY,1521883081.1294508,8.8944931,0.0995946,0.0643806
MsgID.GLOBAL_POSITION,1521883081.1294508,-122.3974456,37.7928430,4.9510000
MsgID.LOCAL_VELOCITY,1521883081.1294508,8.8900000,0.0900000,0.0600000
MsgID.STATE,1521883081.3612566,True,True
MsgID.GLOBAL_HOME,1521883081.3612566,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883081.3782549,-122.3974451,37.7928626,4.9450000
MsgID.LOCAL_VELOCITY,1521883081.3782549,8.9000000,0.1000000,-0.0200000
MsgID.LOCAL_POSITION,1521883081.3792593,42.4638863,0.7242717,-4.9453015
MsgID.LOCAL_VELOCITY,1521883081.3792593,8.9097643,0.1018303,-0.0222144
MsgID.GLOBAL_POSITION,1521883081.6303470,-122.3974434,37.7928804,4.9430000
MsgID.LOCAL_VELOCITY,1521883081.6303470,8.9100000,0.0900000,-0.0500000
MsgID.LOCAL_POSITION,1521883081.6303470,44.4396973,0.8805056,-4.9432712
MsgID.LOCAL_VELOCITY,1521883081.6303470,8.9104471,0.0977579,-0.0571973
MsgID.GLOBAL_POSITION,1521883081.8799331,-122.3974443,37.7929019,4.9380000
MsgID.LOCAL_VELOCITY,1521883081.8799331,8.9100000,0.0700000,-0.1400000
MsgID.LOCAL_POSITION,1521883081.8799331,46.8296700,0.7986865,-4.9382367
MsgID.LOCAL_VELOCITY,1521883081.8799331,8.9183407,0.0730591,-0.1482713
MsgID.GLOBAL_POSITION,1521883082.1308935,-122.3974443,37.7929233,4.9430000
MsgID.LOCAL_VELOCITY,1521883082.1308935,8.9000000,0.0700000,-0.1400000
MsgID.LOCAL_POSITION,1521883082.1308935,49.2129860,0.7927589,-4.9439821
MsgID.LOCAL_VELOCITY,1521883082.1308935,8.9011593,0.0763100,-0.1412291
MsgID.STATE,1521883082.3621500,True,True
MsgID.GLOBAL_HOME,1521883082.3621500,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1521883082.3801441,-122.3974443,37.7929422,4.9410000
MsgID.LOCAL_VELOCITY,1521883082.3801441,8.8900000,0.0900000,-0.1400000
MsgID.LOCAL_POSITION,1521883082.3801441,51.3089104,0.7957067,-4.9411883
MsgID.LOCAL_VELOCITY,1521883082.3801441,8.8907709,0.0919875,-0.1434628
MsgID.GLOBAL_POSITION,1521883082.6303487,-122.3974444,37.7929609,4.9490000
MsgID.LOCAL_VELOCITY,1521883082.6303487,8.8900000,0.1000000,-0.1400000
MsgID.LOCAL_POSITION,1521883082.6303487,53.3872299,0.7847877,-4.9491811
MsgID.LOCAL_VELOCITY,1521883082.6303487,8.8907299,0.1065957,-0.1409827
